id,male,age,marital,education,balance,housing,treatment,donation
10001,0,38,single,tertiary,104,no,1,254.4
10002,0,57,married,secondary,0,no,1,313.2
10003,0,40,married,tertiary,1100,yes,1,265.4
10004,1,55,married,tertiary,1621,yes,1,315.7
10005,1,34,married,secondary,393,yes,1,242.8
10006,1,34,married,secondary,1,yes,1,261.7
10007,0,38,divorced,primary,70,yes,1,223.3
10008,0,52,divorced,primary,204,no,1,305.8
10009,1,27,single,secondary,88,no,1,247.3
10010,1,49,married,secondary,-147,yes,1,306.7
10011,0,61,married,tertiary,362,no,0,328.4
10012,0,43,married,secondary,7343,yes,1,300.2
10013,1,36,married,tertiary,0,yes,1,292.7
10014,1,50,married,secondary,961,no,0,262.9
10015,0,34,married,secondary,244,yes,1,256.4
10016,1,50,married,secondary,579,no,1,327.9
10017,0,59,married,tertiary,0,no,1,313.7
10018,1,56,married,secondary,4063,no,1,305.8
10019,0,38,married,secondary,-363,yes,0,224.3
10020,0,47,married,primary,0,yes,0,251.1
10021,0,55,married,secondary,1086,yes,0,254.5
10022,0,59,divorced,tertiary,3573,no,1,309.9
10023,1,41,married,tertiary,-516,yes,1,287.5
10024,0,41,single,secondary,1020,yes,1,282
10025,1,26,divorced,tertiary,76,no,1,224
10026,1,44,married,secondary,316,no,0,260.1
10027,1,32,single,secondary,92,yes,1,215.9
10028,1,25,single,tertiary,913,yes,1,221.1
10029,1,60,married,secondary,4717,no,0,341.4
10030,1,51,married,secondary,2662,no,1,334
10031,1,30,single,secondary,6900,yes,1,225.3
10032,0,52,married,primary,1054,yes,0,263.5
10033,1,50,married,secondary,-84,yes,1,311
10034,1,46,married,secondary,2904,no,1,280
10035,1,37,divorced,tertiary,66,yes,1,281.6
10036,0,31,married,primary,1243,yes,0,193.5
10037,1,31,married,primary,660,yes,1,262.2
10038,1,29,single,secondary,113,yes,1,193.6
10039,0,46,married,secondary,123,no,1,258.8
10040,1,47,married,secondary,599,yes,0,275.1
10041,1,31,divorced,secondary,459,yes,0,219.8
10042,1,44,married,primary,642,yes,1,302.4
10043,0,30,single,primary,699,yes,1,229.3
10044,1,32,divorced,tertiary,202,yes,1,248.3
10045,0,26,single,secondary,170,no,1,193.2
10046,1,51,divorced,primary,541,yes,0,259.7
10047,0,44,married,secondary,795,no,1,226.8
10048,1,27,single,secondary,8366,no,1,252.7
10049,1,30,single,secondary,638,no,0,173.1
10050,0,57,divorced,tertiary,837,no,1,316.2
10051,0,52,married,secondary,-98,yes,0,258.9
10052,1,56,married,secondary,3391,yes,1,326.9
10053,0,35,married,tertiary,949,no,1,197
10054,1,57,married,primary,3431,yes,0,319.3
10055,0,38,married,tertiary,46,yes,1,260.3
10056,1,46,married,tertiary,217,yes,0,294.8
10057,0,31,single,secondary,609,yes,0,207
10058,1,31,single,primary,5969,yes,0,234.8
10059,1,45,married,secondary,-149,no,0,262
10060,1,35,single,tertiary,2,no,1,243.9
10061,1,51,married,tertiary,0,yes,1,274.9
10062,1,38,single,secondary,0,yes,1,305.9
10063,1,36,divorced,tertiary,-435,yes,0,264.6
10064,1,50,married,tertiary,207,yes,1,291.7
10065,0,33,married,tertiary,0,yes,1,276.6
10066,0,48,married,secondary,5462,no,0,244.4
10067,0,54,divorced,secondary,0,no,1,289.3
10068,0,50,divorced,tertiary,370,no,1,253.3
10069,1,27,single,secondary,282,no,1,235.8
10070,1,41,married,secondary,140,no,0,229.6
10071,0,34,single,tertiary,876,yes,0,204.4
10072,1,27,married,tertiary,1033,yes,1,211.8
10073,1,77,married,tertiary,8304,no,0,344.8
10074,0,30,single,tertiary,175,no,1,203.5
10075,1,31,married,secondary,99,yes,1,230.4
10076,1,34,married,tertiary,697,no,1,273.4
10077,0,36,married,secondary,-129,yes,0,232.7
10078,1,46,married,primary,-337,yes,1,259.3
10079,1,26,single,unknown,3342,yes,1,230.5
10080,1,44,married,secondary,17361,no,0,249.8
10081,0,42,married,secondary,969,no,0,213.1
10082,0,43,married,tertiary,17,no,0,248.8
10083,0,55,married,secondary,2366,yes,1,319
10084,1,34,single,primary,0,no,1,271.6
10085,1,37,married,tertiary,1123,no,1,242.7
10086,1,49,married,tertiary,-37,no,1,315.2
10087,0,36,married,secondary,134,no,0,181.3
10088,0,41,single,secondary,428,yes,0,233.2
10089,1,33,married,primary,4020,no,0,283.2
10090,1,29,single,primary,991,yes,1,215.2
10091,1,29,married,secondary,2855,no,0,202.5
10092,0,40,married,secondary,4441,yes,0,221.2
10093,1,32,married,primary,1148,yes,0,190.9
10094,1,83,married,tertiary,1503,no,1,421.2
10095,1,43,single,tertiary,757,yes,0,308.4
10096,0,32,single,tertiary,311,yes,0,171.1
10097,1,32,married,tertiary,0,no,0,237.9
10098,1,35,married,secondary,188,no,0,263
10099,0,46,single,secondary,677,yes,0,206.7
10100,0,23,single,secondary,817,yes,1,229.7
10101,1,55,married,tertiary,2275,yes,1,297.6
10102,1,27,married,primary,1,yes,0,198.2
10103,0,58,single,unknown,9339,no,0,284.9
10104,1,53,married,tertiary,3177,yes,1,298.8
10105,1,31,married,primary,5,yes,1,235.8
10106,1,25,single,secondary,119,no,1,229.7
10107,1,43,married,tertiary,481,yes,1,331.8
10108,0,34,married,secondary,47,yes,1,270
10109,0,39,married,unknown,9374,no,0,172.6
10110,1,32,divorced,primary,280,no,1,254.4
10111,0,28,married,secondary,655,yes,0,130.4
10112,1,31,married,secondary,466,yes,1,259.5
10113,1,44,married,unknown,10888,no,1,273.8
10114,0,29,single,secondary,145,no,0,187.6
10115,0,50,married,tertiary,806,no,1,300.4
10116,1,31,married,secondary,191,yes,1,270.8
10117,0,30,married,secondary,1211,yes,1,218.5
10118,1,35,married,secondary,1100,yes,1,271.7
10119,0,36,married,tertiary,42,no,1,272.2
10120,0,47,single,secondary,0,yes,1,292.9
10121,0,32,single,secondary,1831,no,1,217.7
10122,1,37,single,secondary,61,no,0,269.5
10123,1,31,married,secondary,582,yes,1,255.8
10124,1,57,married,secondary,162,no,1,342.1
10125,1,25,divorced,secondary,0,yes,1,218.1
10126,0,26,married,tertiary,128,yes,1,211.9
10127,0,37,married,tertiary,11,no,1,270.9
10128,0,29,single,secondary,19,no,0,213.2
10129,0,38,divorced,primary,532,yes,1,249.8
