id,male,age,marital,education,balance,housing,treatment,donation
30001,0,39,married,primary,2226,yes,1,262
30002,1,58,single,tertiary,0,no,1,330.3
30003,1,27,single,secondary,3276,no,1,268.4
30004,1,25,single,primary,366,yes,1,238.9
30005,0,54,married,secondary,2225,no,0,252.8
30006,0,49,single,secondary,981,no,1,285.6
30007,1,29,single,tertiary,2485,no,0,211.7
30008,1,48,divorced,tertiary,100,yes,1,311.2
30009,1,47,married,secondary,3188,yes,1,285.2
30010,0,32,married,tertiary,3939,no,0,178.8
30011,1,32,married,secondary,2,yes,1,241.7
30012,1,58,married,tertiary,593,no,1,288.1
30013,0,36,married,secondary,998,yes,0,206.7
30014,0,36,married,tertiary,1133,yes,0,185.7
30015,1,27,single,secondary,-145,no,0,209.8
30016,0,39,divorced,secondary,-81,no,1,246.6
30017,0,34,single,tertiary,2646,yes,0,185.3
30018,0,52,single,tertiary,0,no,1,274.9
30019,0,43,married,secondary,7876,yes,1,270.2
30020,0,27,single,tertiary,59,no,0,177.4
30021,1,42,single,secondary,9720,yes,1,289.9
30022,0,43,married,secondary,17,no,1,282.6
30023,0,41,single,secondary,-256,yes,1,257.3
30024,0,58,married,tertiary,16264,no,1,343.4
30025,0,47,married,secondary,1230,yes,0,211.1
30026,0,33,married,tertiary,273,yes,0,195.1
30027,0,32,married,secondary,923,yes,0,191.5
30028,1,42,single,secondary,0,yes,0,281.3
30029,1,39,divorced,secondary,399,yes,0,236.2
30030,1,50,single,secondary,60,no,0,311.2
30031,0,45,married,secondary,644,yes,0,240.5
30032,1,30,married,primary,355,yes,1,249
30033,0,38,divorced,secondary,532,no,1,223.8
30034,1,45,married,secondary,776,yes,0,262.4
30035,0,49,married,tertiary,1784,no,0,237.6
30036,1,46,single,secondary,751,yes,1,263.4
30037,0,37,married,tertiary,0,no,0,195.5
30038,0,27,single,tertiary,5291,no,1,192.3
30039,0,40,married,primary,3658,yes,1,219.1
30040,0,55,single,secondary,2398,yes,1,307.4
30041,0,41,divorced,secondary,6046,yes,1,275
30042,1,66,single,tertiary,1048,no,1,336.1
30043,1,30,single,secondary,3809,yes,0,217.2
30044,1,34,divorced,tertiary,160,no,1,276.5
30045,0,58,single,unknown,0,no,1,315.3
30046,0,41,divorced,secondary,6046,yes,0,205.3
30047,1,27,single,tertiary,446,yes,0,167.7
30048,1,38,married,tertiary,12877,no,0,217.5
30049,1,56,married,primary,1906,no,1,307.4
30050,0,49,divorced,tertiary,1405,yes,1,299.3
30051,1,31,single,secondary,36,yes,0,261.4
30052,1,60,married,primary,5,no,1,354.8
30053,0,34,married,primary,365,no,0,198.3
30054,0,57,married,unknown,0,no,1,331
30055,1,26,married,secondary,245,no,1,245.7
30056,1,21,single,secondary,6,yes,1,210.4
30057,0,26,single,secondary,5533,yes,1,238.1
30058,0,49,married,secondary,-55,yes,0,261.5
30059,1,38,married,secondary,821,yes,0,220.8
30060,0,49,married,secondary,2576,yes,0,227.3
30061,1,37,married,primary,689,yes,0,249.6
30062,1,37,married,secondary,395,yes,1,275.9
30063,0,47,single,secondary,-552,yes,1,282.6
30064,0,38,divorced,secondary,595,yes,1,246.5
30065,1,31,divorced,secondary,459,yes,1,247.4
30066,1,34,married,tertiary,133,yes,1,279.7
30067,0,38,married,secondary,2008,yes,0,224.6
30068,1,36,married,tertiary,605,yes,0,245.2
30069,1,34,single,secondary,1,no,0,245.8
30070,0,48,divorced,secondary,1139,yes,0,262.5
30071,1,49,married,secondary,5996,no,1,280.6
30072,1,36,married,secondary,338,yes,1,271.6
30073,1,27,single,secondary,235,yes,1,224.5
30074,1,47,married,unknown,428,no,1,333.6
30075,0,34,divorced,secondary,44,no,0,194
30076,0,27,married,tertiary,43,no,1,228.6
30077,1,47,married,secondary,-938,yes,1,307.3
30078,1,57,single,tertiary,2,yes,1,351.4
30079,1,47,married,tertiary,-50,no,1,315.7
30080,1,28,single,secondary,1633,no,0,200.1
30081,0,43,married,primary,7727,yes,1,261.6
30082,0,44,married,tertiary,1707,no,0,221.2
30083,1,51,divorced,primary,12,yes,0,254.9
30084,1,30,single,tertiary,411,yes,1,234.9
30085,1,40,divorced,secondary,399,no,1,252.3
30086,0,42,married,secondary,2030,no,0,222
30087,0,48,married,secondary,127,yes,1,276.3
30088,1,39,married,secondary,285,yes,1,234.8
30089,0,29,single,unknown,3357,yes,0,160.5
30090,1,45,married,secondary,5346,yes,1,296.4
30091,1,37,divorced,secondary,33,no,1,280.5
30092,0,41,married,tertiary,72,yes,0,261.2
30093,1,21,single,primary,3472,no,0,223.8
30094,1,35,married,secondary,1453,no,1,232.3
30095,1,38,married,secondary,1,yes,0,271.9
30096,0,50,single,secondary,2146,no,1,286.5
30097,1,44,married,secondary,-674,yes,0,265.9
30098,0,25,single,tertiary,172,no,0,174.8
30099,0,32,single,unknown,14533,yes,0,180.9
30100,0,36,married,secondary,4438,yes,1,260.3
30101,0,31,single,tertiary,96,yes,1,233
30102,0,52,married,secondary,335,no,0,282.7
30103,1,29,married,secondary,15,no,1,261.6
30104,0,32,married,secondary,5122,yes,1,190.5
30105,1,56,single,primary,306,no,0,300.3
30106,1,27,married,tertiary,318,yes,1,213.2
30107,1,50,married,primary,3924,yes,1,314.6
30108,1,35,married,secondary,305,yes,1,252.6
30109,1,27,single,secondary,266,no,1,303.8
30110,0,35,divorced,secondary,0,yes,0,207.3
30111,1,42,married,secondary,-246,yes,1,275.1
30112,0,43,single,secondary,3945,yes,1,325.5
30113,1,35,married,tertiary,8647,no,1,254.2
30114,1,42,married,secondary,323,yes,1,278.2
30115,0,39,divorced,secondary,1876,no,1,251.5
30116,0,32,single,tertiary,569,yes,1,210.2
30117,0,37,single,tertiary,556,yes,1,255.2
30118,0,42,married,primary,2111,yes,0,224.8
30119,1,60,single,secondary,179,no,1,380.5
30120,0,39,single,tertiary,1190,yes,1,261.8
30121,1,36,married,primary,1925,yes,0,200.3
30122,1,80,married,tertiary,7802,yes,1,398.5
30123,1,36,married,secondary,-11,yes,1,274.2
30124,0,35,divorced,tertiary,39,no,0,245.5
30125,1,53,married,primary,25,no,0,287.4
30126,0,40,married,secondary,168,yes,1,292
30127,0,25,single,tertiary,1420,no,0,198.6
30128,0,31,single,secondary,360,no,1,228.4
30129,1,30,married,secondary,1210,no,0,173.9
30130,1,27,single,unknown,6421,no,1,230.9
30131,1,51,married,tertiary,1634,no,1,336
30132,0,31,married,secondary,1243,yes,0,172.6
30133,1,36,married,secondary,191,yes,1,275.2
30134,0,39,married,secondary,6,yes,0,175.3
30135,0,50,married,secondary,421,no,1,280.9
30136,0,30,married,tertiary,101,yes,1,222.3
30137,0,27,married,secondary,130,yes,1,215.9
30138,1,25,single,secondary,8,no,1,246.7
30139,1,28,married,secondary,232,yes,0,196.1
30140,1,25,single,secondary,1847,no,1,219
30141,1,32,married,secondary,150,no,1,272.4
30142,0,59,divorced,secondary,7179,yes,1,359.6
30143,1,51,married,secondary,2662,no,1,323
30144,1,32,divorced,tertiary,267,yes,1,221.6
30145,1,39,single,tertiary,0,no,1,270.7
30146,0,29,single,tertiary,3357,no,0,186.5
30147,0,47,divorced,secondary,2914,yes,1,310.7
30148,0,40,married,primary,3658,yes,1,270.1
30149,0,45,married,secondary,1415,yes,0,244.8
30150,1,77,married,primary,279,no,1,398.1
30151,1,26,single,secondary,1347,yes,1,240
30152,1,30,single,tertiary,48,no,1,228.8
30153,1,33,married,secondary,0,no,1,250.2
30154,0,35,married,primary,-12,yes,1,253.2
30155,1,32,divorced,tertiary,0,no,1,230
30156,0,59,married,secondary,42,no,1,298.9
30157,0,35,married,secondary,1257,yes,0,199
30158,1,33,single,tertiary,1240,yes,0,246.2
30159,0,48,married,secondary,7020,no,1,290.2
30160,1,39,married,primary,7685,yes,0,224
30161,1,63,single,tertiary,890,no,1,369.3
30162,0,24,single,secondary,822,no,0,171.2
30163,0,47,single,tertiary,4402,no,1,287.8
30164,0,48,divorced,secondary,4906,yes,0,238
30165,1,36,married,tertiary,3057,yes,1,278.1
30166,1,32,single,secondary,518,no,1,243.4
30167,0,37,married,tertiary,0,yes,0,181.9
30168,1,37,married,secondary,132,no,0,260.5
30169,1,42,married,primary,145,yes,1,293.2
30170,0,50,single,secondary,2146,yes,0,255.8
30171,0,38,married,tertiary,7124,no,1,250.1
30172,1,38,married,secondary,213,yes,0,236.2
30173,1,26,single,secondary,-162,yes,1,231
30174,0,38,married,tertiary,1199,no,0,216.5
30175,1,54,married,secondary,158,yes,0,270.5
30176,0,47,divorced,secondary,136,no,1,258.8
30177,0,31,single,secondary,433,yes,1,235
30178,1,34,divorced,secondary,1268,no,0,223.7
30179,1,60,married,secondary,725,yes,0,279.6
30180,0,38,married,tertiary,1514,no,1,259.4
30181,1,32,married,secondary,-53,yes,1,295.1
30182,0,42,single,tertiary,525,no,0,222.8
30183,0,33,single,secondary,5739,yes,0,167.2
30184,1,42,married,primary,1628,yes,0,269
30185,0,30,single,tertiary,2325,no,0,155.4
30186,0,30,married,secondary,-28,yes,0,228.3
30187,1,37,married,tertiary,3288,yes,1,261.6
30188,1,34,single,secondary,6979,yes,0,219.1
30189,1,28,single,secondary,1065,yes,0,192.4
30190,0,27,single,secondary,3638,yes,0,179.2
30191,1,29,single,secondary,1448,no,1,228
30192,1,58,married,tertiary,593,no,1,337.1
30193,1,57,married,secondary,32,no,1,340.4
30194,0,28,single,secondary,290,yes,1,193.3
30195,1,36,single,tertiary,3875,yes,1,235.4
30196,0,37,divorced,secondary,2998,yes,1,219.6
30197,0,61,married,secondary,5207,no,1,320.3
30198,1,34,single,tertiary,618,no,1,213.8
30199,1,60,married,tertiary,3043,no,1,344.7
30200,1,31,married,secondary,1062,yes,0,224
30201,0,45,married,primary,7353,yes,1,262.5
30202,0,51,married,secondary,3180,yes,0,254.4
30203,1,44,single,secondary,787,no,0,287.1
30204,1,45,divorced,secondary,4646,yes,1,307.5
30205,0,34,divorced,secondary,44,yes,1,225.7
30206,0,31,married,primary,0,no,1,221.5
30207,1,36,married,tertiary,629,yes,1,288.6
30208,0,45,divorced,primary,-97,yes,1,253.6
30209,0,35,married,secondary,128,no,0,182.8
30210,0,35,married,secondary,262,no,0,202.4
30211,1,41,single,secondary,879,yes,1,296.7
30212,1,41,married,secondary,1459,yes,0,268
30213,0,31,married,tertiary,5191,no,1,234.4
30214,1,55,married,secondary,159,no,1,337.4
30215,0,31,single,secondary,31,yes,0,195.1
30216,1,55,married,unknown,1210,no,1,333.4
30217,1,39,married,secondary,1439,yes,1,269
30218,0,50,married,secondary,806,no,1,273.5
30219,1,39,married,primary,7685,yes,1,293
30220,1,36,married,secondary,644,yes,0,264.5
30221,1,71,married,tertiary,2144,no,0,327.1
30222,0,49,divorced,tertiary,0,yes,0,254
30223,0,36,married,secondary,5902,no,1,213.4
30224,0,48,married,secondary,7020,no,0,282.3
30225,1,45,married,tertiary,5450,no,1,325.9
30226,0,22,single,secondary,2488,no,1,188.4
30227,1,33,divorced,primary,117,yes,0,239.8
30228,0,56,married,secondary,4073,no,1,304.4
30229,0,35,married,tertiary,11219,no,1,232.8
30230,0,33,married,tertiary,1808,yes,0,177.5
30231,1,27,single,secondary,148,yes,1,239.9
30232,0,29,single,tertiary,145,yes,1,201.6
30233,0,60,married,secondary,2552,no,1,319.5
30234,1,32,divorced,tertiary,280,no,1,241.8
30235,1,52,divorced,secondary,1810,yes,1,338.2
30236,0,26,single,secondary,236,yes,0,213.7
30237,1,33,divorced,secondary,0,yes,1,256.1
30238,0,47,married,primary,881,yes,1,243.8
30239,1,32,single,tertiary,1731,no,1,243.5
30240,0,49,married,tertiary,310,no,0,227.1
30241,1,35,married,tertiary,188,no,0,204.1
30242,1,54,single,secondary,1139,no,0,277.8
30243,0,51,married,secondary,1490,yes,0,263.1
30244,0,59,married,primary,0,no,0,315
30245,1,57,married,primary,1623,yes,0,311.9
30246,1,46,divorced,secondary,2232,no,1,312.1
30247,0,31,married,unknown,5969,no,0,195.3
30248,1,60,married,primary,0,no,1,349.8
30249,1,49,married,tertiary,852,no,1,303.1
30250,0,45,married,tertiary,1929,no,1,297.7
30251,0,52,divorced,secondary,204,no,0,265.4
30252,1,41,married,secondary,0,yes,0,255.7
30253,1,67,married,primary,426,no,1,384.3
30254,0,35,married,secondary,2971,no,0,190.1
30255,0,58,married,secondary,3382,no,0,344.9
30256,1,52,single,tertiary,0,no,0,292.1
30257,0,32,single,tertiary,1583,no,0,208.8
30258,1,37,single,secondary,228,yes,0,265.9
30259,0,26,single,secondary,7,no,1,230.2
30260,1,40,divorced,tertiary,26,yes,0,246.5
30261,0,56,married,tertiary,15520,no,0,273.2
30262,0,37,married,secondary,712,no,0,245.4
30263,1,47,married,tertiary,2306,no,0,248.4
30264,1,45,married,secondary,1673,no,1,296.8
30265,0,36,single,tertiary,1531,yes,1,292.2
30266,0,55,married,secondary,955,no,1,314.8
30267,0,56,single,tertiary,15520,yes,0,259.8
30268,1,63,married,primary,1060,yes,1,348.9
30269,1,21,single,unknown,1129,no,1,182.4
30270,1,38,married,secondary,0,yes,1,299.1
30271,1,37,single,secondary,0,yes,1,259.4
30272,1,51,single,primary,602,no,1,283.2
30273,1,42,single,secondary,0,yes,0,268
30274,1,59,married,tertiary,9676,no,1,315.2
30275,1,28,single,tertiary,5549,no,0,209.4
30276,0,35,married,tertiary,20,no,1,302.7
30277,0,44,married,tertiary,1242,yes,1,238
30278,0,37,married,secondary,430,yes,1,274.5
30279,1,40,married,tertiary,-117,yes,0,235.9
30280,0,43,married,secondary,434,yes,0,246.7
30281,0,53,married,tertiary,15,no,0,242.3
30282,1,46,married,primary,258,yes,1,319.2
30283,1,58,married,secondary,235,no,1,334.4
30284,1,35,married,secondary,8652,yes,1,248.3
30285,0,48,married,tertiary,5057,no,1,263.3
30286,1,45,married,primary,-249,yes,1,289.3
30287,1,31,single,primary,464,yes,0,209.9
30288,1,37,married,tertiary,836,yes,1,271.3
30289,1,36,married,unknown,47,no,0,217.4
30290,1,35,divorced,secondary,-435,yes,1,248.8
30291,1,35,married,tertiary,980,no,1,262.2
30292,1,41,divorced,primary,-365,yes,0,289.6
30293,1,39,married,secondary,1367,no,1,279.4
30294,0,53,married,secondary,4380,no,1,326.8
30295,0,48,single,unknown,1783,no,1,286.2
30296,0,58,married,primary,5278,yes,1,291.1
30297,1,50,single,secondary,1130,yes,0,265.2
30298,1,35,married,secondary,94,yes,1,223.3
30299,0,37,married,secondary,430,yes,0,217.2
30300,0,54,single,primary,1178,yes,1,316.9
30301,1,40,divorced,secondary,687,no,1,290.4
30302,1,34,single,tertiary,6766,yes,1,281.3
30303,0,45,divorced,secondary,1269,yes,0,226.2
30304,0,29,single,tertiary,406,no,0,206.4
30305,1,49,married,secondary,1114,no,0,236.9
30306,1,37,single,secondary,228,yes,1,265.5
30307,0,57,married,primary,75,no,1,314.5
30308,1,38,married,secondary,821,yes,1,291.7
30309,1,55,married,primary,1187,yes,1,295.7
30310,1,42,married,primary,66,no,1,284.1
30311,1,49,single,secondary,635,no,1,324.4
30312,0,40,divorced,tertiary,1057,no,1,250.1
30313,0,49,divorced,tertiary,1904,yes,0,258.5
30314,1,46,single,secondary,295,yes,1,290.2
30315,0,53,married,primary,732,yes,0,278.1
30316,1,41,divorced,secondary,1088,yes,0,258.8
30317,1,34,single,tertiary,872,yes,0,252.8
30318,0,38,divorced,secondary,0,no,0,176.6
30319,1,62,married,unknown,-49,no,1,365.5
30320,0,55,married,secondary,-196,yes,0,288.5
30321,1,33,married,secondary,-241,yes,1,242.1
30322,1,36,married,secondary,63,yes,1,274.2
30323,1,37,married,primary,0,yes,1,269.6
30324,0,31,married,secondary,413,yes,0,208.3
30325,1,43,married,secondary,104,no,1,282.2
30326,1,46,married,secondary,1427,yes,1,315.1
30327,0,35,married,tertiary,552,yes,1,241.4
30328,1,47,married,primary,292,yes,1,316.1
30329,1,41,single,secondary,75,yes,1,280.2
30330,0,30,single,tertiary,604,yes,1,226.4
30331,0,41,married,secondary,4539,yes,0,232.6
30332,1,44,single,secondary,5045,yes,1,266.5
30333,0,36,married,tertiary,506,yes,0,180.4
30334,1,48,married,secondary,2294,yes,1,311.8
30335,0,47,married,secondary,3285,no,1,329.3
30336,1,53,married,secondary,483,no,1,309.9
30337,1,35,married,tertiary,317,no,1,244.6
30338,0,59,married,primary,699,yes,1,275.1
30339,0,33,married,primary,245,yes,1,233.3
30340,1,34,married,secondary,-346,yes,1,263.2
30341,0,38,married,primary,3419,yes,1,270.2
30342,1,57,married,secondary,2137,no,0,323.9
30343,0,25,single,secondary,3217,yes,1,188.7
30344,1,51,married,secondary,0,yes,1,282.7
30345,1,35,married,tertiary,980,no,1,215.9
30346,0,32,single,tertiary,569,no,0,197.7
30347,1,71,married,tertiary,353,no,0,363.7
30348,1,35,married,tertiary,980,yes,0,238.8
30349,1,37,married,secondary,395,no,1,267.8
30350,1,28,married,primary,60,yes,1,274.2
30351,0,31,married,secondary,413,yes,0,151.4
30352,1,26,single,secondary,1275,no,0,209.1
30353,0,29,married,tertiary,242,yes,1,218
30354,1,32,married,secondary,38,yes,0,200.9
30355,1,40,married,secondary,1438,yes,1,316.6
30356,0,32,single,tertiary,1218,no,0,221.3
30357,0,27,single,secondary,468,yes,1,231.6
30358,0,39,married,secondary,0,yes,0,191.1
30359,0,77,married,primary,229,no,0,366.8
30360,1,33,married,secondary,11,yes,1,235.9
30361,0,41,married,primary,389,yes,0,185.3
30362,0,52,married,tertiary,83,no,0,242.3
30363,0,55,married,secondary,96,no,0,282.4
30364,0,31,married,tertiary,2395,yes,0,160.6
30365,0,53,single,secondary,1178,no,0,304.3
30366,1,33,married,tertiary,2098,no,0,262.6
30367,1,31,married,secondary,251,yes,1,245.6
30368,1,33,married,tertiary,-988,yes,1,266.8
30369,0,33,single,secondary,5739,yes,1,234.9
30370,0,32,married,secondary,61,yes,1,175.9
30371,0,50,married,secondary,2061,yes,0,255.1
30372,1,37,single,tertiary,876,yes,0,226.1
30373,0,51,divorced,unknown,356,yes,1,301.9
30374,0,37,single,tertiary,556,no,1,237.3
30375,1,34,married,tertiary,197,yes,1,253.9
30376,1,43,married,secondary,50,no,1,310.9
30377,1,46,married,secondary,3098,yes,1,288.5
30378,1,30,single,tertiary,1185,yes,1,227.2
30379,0,26,married,secondary,115,yes,1,204
30380,1,59,single,secondary,319,no,0,292
30381,0,38,single,tertiary,0,yes,0,219.9
30382,1,28,single,secondary,3412,yes,0,210.6
30383,1,59,married,secondary,0,no,0,299.2
30384,0,42,married,tertiary,782,no,0,237.9
30385,1,37,divorced,secondary,157,yes,0,274.4
30386,1,50,married,primary,-1,no,0,274.1
30387,1,27,single,tertiary,-148,yes,1,264.9
30388,1,28,single,secondary,618,no,1,243.2
30389,1,41,divorced,secondary,664,yes,0,265.1
30390,0,50,married,secondary,421,no,0,270.9
30391,0,58,married,tertiary,1831,no,0,274.8
30392,1,33,married,tertiary,-988,yes,0,233.9
30393,0,45,married,secondary,2571,yes,1,249.3
30394,0,48,married,tertiary,3726,no,1,273.1
30395,0,35,married,secondary,724,yes,1,239.7
30396,1,73,married,secondary,745,no,1,369.6
30397,0,58,divorced,secondary,195,no,1,303.8
30398,1,31,married,primary,2581,yes,1,273.6
30399,0,45,married,secondary,1477,yes,1,274
30400,1,27,single,secondary,1566,no,0,232.9
30401,1,37,divorced,tertiary,168,yes,0,225.6
30402,1,53,divorced,secondary,4554,yes,0,265.2
30403,0,48,married,secondary,725,no,1,306.9
30404,1,34,divorced,secondary,0,no,1,306.8
30405,1,42,single,tertiary,100,no,1,305.5
30406,1,36,divorced,secondary,487,yes,0,247.7
30407,0,32,married,secondary,-32,yes,0,232.8
30408,0,48,married,primary,607,no,1,261.3
30409,0,57,married,secondary,82,yes,0,272.3
30410,0,45,married,secondary,128,no,1,256
30411,0,36,married,tertiary,506,yes,0,206.4
30412,0,38,married,tertiary,1042,yes,1,245.8
30413,1,34,single,primary,92,no,1,277.7
30414,1,50,married,secondary,246,yes,0,252.7
30415,1,29,single,tertiary,991,yes,1,216.9
30416,1,49,married,secondary,-147,yes,1,353.1
30417,1,31,married,secondary,466,no,0,206.5
30418,0,30,single,secondary,0,yes,1,216
30419,1,48,single,unknown,131,no,0,251
30420,1,30,single,tertiary,411,no,0,189.8
30421,1,27,single,secondary,619,no,1,250.4
30422,0,30,married,primary,1787,yes,1,188.6
30423,1,35,married,secondary,13658,no,1,288.7
30424,1,33,married,tertiary,2098,yes,0,168.7
30425,0,33,married,secondary,-346,yes,1,214.6
30426,1,36,single,secondary,35,no,0,241.7
30427,0,32,married,secondary,167,yes,1,183.3
30428,0,32,single,tertiary,1100,yes,1,249.5
