id,outcome,treat,channel,recency,frequency,monetary
10001,249.1414559,1,Ad,11,10,49.77776365
10002,200.486784,1,Organic,26,10,59.4089585
10003,136.3812823,1,Organic,12,8,120.2096115
10004,202.833937,1,Organic,12,8,162.3771419
10005,145.7728865,1,Referral,17,22,168.4241993
10006,359.9140623,1,Organic,6,4,130.9736963
10007,195.0469214,1,Ad,19,12,134.7763358
10008,239.2512346,1,Ad,26,22,89.23621376
10009,223.730226,1,Organic,18,16,122.1478545
10010,168.9492397,1,Organic,18,18,95.61119493
10011,153.536138,1,Organic,20,15,87.25757878
10012,239.7613467,1,Organic,13,8,59.37928124
10013,166.985238,1,Ad,10,8,15.08126398
10014,193.8885055,1,Referral,14,21,40.21641529
10015,208.1465589,1,Ad,18,13,77.61589755
10016,299.8728842,1,Referral,11,4,84.3312089
10017,179.894295,1,Ad,19,20,90.25970805
10018,155.5499692,1,Ad,17,12,111.5240218
10019,252.149895,1,Ad,14,10,162.4143401
10020,259.9761332,1,Ad,20,10,146.5536002
10021,137.3836366,1,Ad,22,28,132.642072
10022,239.0030861,1,Ad,15,6,42.59536051
10023,215.5895668,1,Ad,20,15,80.75180498
10024,301.5970773,1,Ad,20,18,52.20182189
10025,245.5797316,1,Ad,17,7,167.6970346
10026,225.0576149,1,Referral,13,12,158.4903304
10027,250.2997358,1,Organic,18,15,20.17065801
10028,245.9455493,1,Referral,10,6,31.11109648
10029,297.1520522,1,Referral,13,17,148.8321669
10030,156.2726469,1,Ad,21,28,184.8696369
10031,398.0461819,1,Organic,4,3,137.5877931
10032,171.9582475,1,Ad,31,15,17.17826138
10033,137.0862317,1,Ad,26,30,12.53381943
10034,96.77804793,1,Organic,18,13,80.13963234
10035,201.248143,1,Ad,15,11,130.647839
10036,410.9613961,1,Organic,11,6,122.3801998
10037,282.3318749,1,Ad,7,3,86.56592409
10038,120.0197775,1,Ad,14,27,101.4165143
10039,409.3842846,1,Referral,7,4,171.2337268
10040,191.7674767,1,Referral,14,9,101.3329467
10041,159.019638,1,Organic,14,9,47.78020304
10042,244.7136015,1,Organic,10,5,105.8486388
10043,286.5525808,1,Ad,15,5,99.45034586
10044,167.5211396,1,Organic,19,13,28.40072249
10045,204.7967509,1,Ad,15,6,53.01982743
10046,227.749498,1,Organic,16,11,136.1942629
10047,204.9154698,1,Organic,18,13,138.4948075
10048,167.4815977,1,Organic,15,11,37.70948989
10049,314.7105933,1,Ad,8,3,89.37801547
10050,245.1034125,1,Organic,17,23,118.3191769
10051,191.5829919,1,Ad,16,10,121.2043062
10052,279.5462903,1,Ad,33,22,176.0752706
10053,201.8511688,1,Organic,18,13,88.48276902
10054,359.0522439,1,Organic,8,4,156.4341761
10055,124.3999064,1,Ad,14,10,50.25835233
10056,192.3400754,1,Organic,18,13,118.4611473
10057,174.651921,1,Organic,18,10,85.32225086
10058,166.0416674,1,Organic,14,13,101.8124054
10059,211.1871663,1,Ad,8,9,64.33632587
10060,122.0712581,1,Referral,21,19,12.0425741
10061,99.6655123,1,Referral,23,11,79.43023205
10062,146.8216169,1,Ad,19,18,114.4681773
10063,217.648023,1,Ad,22,11,4.65720512
10064,86.38147669,1,Ad,20,9,88.0709195
10065,233.3749959,1,Ad,13,14,93.105998
10066,417.2926596,1,Organic,9,3,106.1676507
10067,127.6116116,1,Ad,21,16,81.98589309
10068,241.7233402,1,Organic,18,17,126.2036493
10069,171.1161932,1,Ad,12,21,166.5532648
10070,193.0358512,1,Organic,20,17,130.7409347
10071,94.2145151,1,Ad,20,10,60.15235149
10072,178.0579076,1,Referral,24,24,46.01202808
10073,186.2025374,1,Ad,9,15,146.8600391
10074,124.2783076,1,Referral,20,27,22.06875652
10075,240.8649917,1,Ad,18,8,109.1998159
10076,264.3480581,1,Organic,20,20,143.6304076
10077,291.8731039,1,Ad,39,24,1.626243624
10078,287.0146194,1,Ad,15,6,116.6973106
10079,180.7026325,1,Ad,20,9,24.63661707
10080,172.5194516,1,Organic,13,10,166.6450382
10081,212.6069558,1,Referral,15,8,66.16026947
10082,252.2398842,1,Organic,16,13,126.2087304
10083,226.4116904,1,Ad,38,27,173.5987519
10084,107.0692411,1,Organic,28,13,75.57887807
10085,252.9390053,1,Ad,12,5,119.0948246
10086,129.210673,1,Referral,21,10,126.5418365
10087,373.661644,1,Ad,18,20,113.0447017
